Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-08-05,UMAC,8.0,10.43,7.3,10.45,83.6,0.16,HOLD,,
2025-08-05,AZTR,465.0,0.18,0.13,0.19,88.35,4.65,HOLD,,
2025-08-05,ZENA,6.0,5.09,3.56,4.97,29.82,-0.72,HOLD,,
2025-08-05,TOTAL,,,,,201.77,4.09,,2.04,203.81
2025-08-06,UMAC,8.0,10.43,7.3,9.99,79.92,-3.52,HOLD,,
2025-08-06,AZTR,465.0,0.18,0.13,0.18,83.7,0.0,HOLD,,
2025-08-06,ZENA,6.0,5.09,3.56,5.05,30.3,-0.24,HOLD,,
2025-08-06,TOTAL,,,,,193.92,-3.76,,2.04,195.96
2025-08-07,UMAC,8.0,10.43,7.3,9.82,78.56,-4.88,HOLD,,
2025-08-07,AZTR,465.0,0.18,0.13,0.17,79.05,-4.65,HOLD,,
2025-08-07,ZENA,6.0,5.09,3.56,4.98,29.88,-0.66,HOLD,,
2025-08-07,TOTAL,,,,,187.49,-10.19,,2.04,189.53
2025-08-08,UMAC,8.0,10.43,7.3,10.02,80.16,-3.28,HOLD,,
2025-08-08,AZTR,465.0,0.18,0.13,0.17,79.05,-4.65,HOLD,,
2025-08-08,ZENA,6.0,5.09,3.56,4.99,29.94,-0.6,HOLD,,
2025-08-08,TOTAL,,,,,189.15,-8.53,,2.04,191.19
2025-08-09,UMAC,8.0,10.43,7.3,10.09,80.72,-2.72,HOLD,,
2025-08-09,AZTR,465.0,0.18,0.13,0.16,74.4,-9.3,HOLD,,
2025-08-09,ZENA,6.0,5.09,3.56,5.04,30.24,-0.3,HOLD,,
2025-08-09,TOTAL,,,,,185.36,-12.32,,2.04,187.4
2025-08-11,UMAC,8.0,10.43,7.3,10.27,82.16,-1.28,HOLD,,
2025-08-11,AZTR,465.0,0.18,0.13,0.17,79.05,-4.65,HOLD,,
2025-08-11,ZENA,6.0,5.09,3.56,4.89,29.34,-1.2,HOLD,,
2025-08-11,TOTAL,,,,,190.55,-7.13,,2.04,192.59
2025-08-12,UMAC,5.0,10.43,7.3,10.15,50.75,-1.4,HOLD,,
2025-08-12,ZENA,4.0,5.09,3.56,5.45,21.8,1.44,HOLD,,
2025-08-12,APYX,40.0,2.24,1.56,2.22,88.8,-0.8,HOLD,,
2025-08-12,KLTR,20.0,1.61,1.12,1.62,32.4,0.2,HOLD,,
2025-08-12,LUNG,4.0,1.57,1.09,1.57,6.28,0.0,HOLD,,
2025-08-12,TOTAL,,,,,200.03,-0.56,,0.0,200.03
2025-08-13,UMAC,5,10.43,7.3,10.47,52.35,0.2,HOLD,,
2025-08-13,ZENA,4,5.09,3.56,5.19,20.76,0.4,HOLD,,
2025-08-13,APYX,40,2.24,1.56,2.33,93.2,3.6,HOLD,,
2025-08-13,KLTR,20,1.61,1.12,1.65,33.0,0.8,HOLD,,
2025-08-13,LUNG,4,1.57,1.09,1.54,6.16,-0.12,HOLD,,
2025-08-13,TOTAL,,,,,205.47,4.88,,0.0,205.47
